Title,Title_link,Thumbnail,sc-b8b74125-0,sc-300a8231-6,ipc-rating-star--rating,ipc-rating-star--voteCount,sc-300a8231-61,sc-300a8231-4,sc-300a8231-62
The Boys,https://www.imdb.com/title/tt1190634/?ref_=chttvm_t_79,"https://m.media-amazon.com/images/M/MV5BMWJlN2U5MzItNjU4My00NTM2LWFjOWUtOWFiNjg3ZTMxZDY1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",79 (7),2019–,8.7,(748K),40 eps,TV Series,TV-MA
Death in Paradise,https://www.imdb.com/title/tt1888075/?ref_=chttvm_t_80,"https://m.media-amazon.com/images/M/MV5BMTc5OTc3MjAwN15BMl5BanBnXkFtZTgwODAxMDQyMTE@._V1_QL75_UY207_CR1,0,140,207_.jpg",80 (33),2011–,7.8,(30K),109 eps,TV Series,TV-PG
The Bear,https://www.imdb.com/title/tt14452776/?ref_=chttvm_t_81,"https://m.media-amazon.com/images/M/MV5BZjE0MjBkNWMtOGUzZS00MzMyLTgwYjgtNTBkZWQ5YWRlMmM1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",81 (4),2022–,8.5,(259K),29 eps,TV Series,TV-MA
Suits,https://www.imdb.com/title/tt1632701/?ref_=chttvm_t_82,"https://m.media-amazon.com/images/M/MV5BYmE4MmNjZjUtNTEyNy00NTZiLWE4NTktYjM2NjBhYzQ1N2IzXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",82 (6),2011–2019,8.4,(504K),134 eps,TV Series,TV-14
Vikings,https://www.imdb.com/title/tt2306299/?ref_=chttvm_t_83,"https://m.media-amazon.com/images/M/MV5BOTFmZmExYTEtYmE0Mi00MzRmLWE4ZDYtOThiNzNlOTIyODljXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",83 (4),2013–2020,8.5,(607K),93 eps,TV Series,TV-MA
Disclaimer,https://www.imdb.com/title/tt16294384/?ref_=chttvm_t_84,"https://m.media-amazon.com/images/M/MV5BMzYyOTI4MGItYWQ5YS00ODQ5LWIyOTAtYjY5ODViMWI3MDZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,10,140,207_.jpg",84 (10),2024,7.5,(26K),7 eps,TV Mini Series,TV-MA
The Rig,https://www.imdb.com/title/tt14273790/?ref_=chttvm_t_85,"https://m.media-amazon.com/images/M/MV5BZmIyNjIwOWQtODI1Yy00NWRmLWIzNDctODlhZjJkYjQ1NjExXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",85 (1088),2023–,5.9,(15K),12 eps,TV Series,13+
Black Mirror,https://www.imdb.com/title/tt2085059/?ref_=chttvm_t_86,"https://m.media-amazon.com/images/M/MV5BMWY3ZjgwMTctZTZmMS00ZTMwLTkwYWEtNTVkMDgwNjA5ODBiXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",86 (9),2011–,8.7,(667K),33 eps,TV Series,TV-MA
The Diplomat,https://www.imdb.com/title/tt17491088/?ref_=chttvm_t_87,"https://m.media-amazon.com/images/M/MV5BNjFkZTBlYjgtMDA2OS00YjI2LWFiNjMtNWIxZTljYTEzMjRiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",87 (1),2023–,8,(76K),20 eps,TV Series,TV-MA
Peaky Blinders,https://www.imdb.com/title/tt2442560/?ref_=chttvm_t_88,"https://m.media-amazon.com/images/M/MV5BM2ZiNThlNzItNmY3Ny00NjA2LWJlMjItNTk1NDI3MDMyMTk4XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",88 (9),2013–2022,8.7,(692K),36 eps,TV Series,TV-MA
House of the Dragon,https://www.imdb.com/title/tt11198330/?ref_=chttvm_t_89,"https://m.media-amazon.com/images/M/MV5BM2QzMGVkNjUtN2Y4Yi00ODMwLTg3YzktYzUxYjJlNjFjNDY1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",89 (11),2022–,8.3,(461K),22 eps,TV Series,TV-MA
C.B. Strike,https://www.imdb.com/title/tt4276618/?ref_=chttvm_t_90,"https://m.media-amazon.com/images/M/MV5BMmI0ODZhNzctY2M3Zi00NjkzLWJhNDMtYWIxNjQ5OTc4NzdmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",90 (36),2017–,7.9,(27K),19 eps,TV Series,TV-MA
Reacher,https://www.imdb.com/title/tt9288030/?ref_=chttvm_t_91,"https://m.media-amazon.com/images/M/MV5BMzdjYWZlMDQtYzdhNi00NmRlLTg2NzUtMTI3MWFhZDliNjBiXkEyXkFqcGc@._V1_QL75_UX140_CR0,21,140,207_.jpg",91 (2),2022–,8,(234K),25 eps,TV Series,TV-MA
Fargo,https://www.imdb.com/title/tt2802850/?ref_=chttvm_t_92,"https://m.media-amazon.com/images/M/MV5BMjMzMTIzMTUwN15BMl5BanBnXkFtZTgwNjE0NTg0MTE@._V1_QL75_UX140_CR0,1,140,207_.jpg",92 (8),2014–2024,8.9,(438K),51 eps,TV Series,TV-MA
The Lord of the Rings: The Rings of Power,https://www.imdb.com/title/tt7631058/?ref_=chttvm_t_93,"https://m.media-amazon.com/images/M/MV5BNmVmZGQ2ZTctYzE4NC00YzkxLThhNjYtNGIyZjJmZGEwMjUzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",93 (2),2022–,6.9,(415K),17 eps,TV Series,TV-14
Succession,https://www.imdb.com/title/tt7660850/?ref_=chttvm_t_94,"https://m.media-amazon.com/images/M/MV5BNTEwNTFkZTktMzI1OC00YmRjLWE5NTUtYmZhMmJlNGUxMWU1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",94 (1),2018–2023,8.8,(303K),39 eps,TV Series,TV-MA
What We Do in the Shadows,https://www.imdb.com/title/tt7908628/?ref_=chttvm_t_95,"https://m.media-amazon.com/images/M/MV5BNDhiYTVlYjUtMDc4OC00NzBmLWE5YTYtNDBjZDc4MzM3YzNmXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",95 (25),2019–2024,8.6,(115K),61 eps,TV Series,TV-MA
Yellowjackets,https://www.imdb.com/title/tt11041332/?ref_=chttvm_t_96,"https://m.media-amazon.com/images/M/MV5BOGVhNzViNTYtYjg0Ny00NzI3LWI2MTQtMzFlYWQ4NTQ2YmQ2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",96 (14),2021–,7.8,(95K),29 eps,TV Series,TV-MA
Parenthood,https://www.imdb.com/title/tt1416765/?ref_=chttvm_t_97,"https://m.media-amazon.com/images/M/MV5BMjAwMjA3Mzg2N15BMl5BanBnXkFtZTgwMDY2Nzg3MjE@._V1_QL75_UY207_CR1,0,140,207_.jpg",97 (12),2010–2015,8.3,(39K),103 eps,TV Series,TV-PG
The Lincoln Lawyer,https://www.imdb.com/title/tt13833978/?ref_=chttvm_t_98,"https://m.media-amazon.com/images/M/MV5BYWZiZWJhZTQtNzk2ZC00OTM4LWE0OTctNmI3ZmIzNWQ1ZGMxXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",98 (8),2022–,7.8,(78K),30 eps,TV Series,TV-MA
Earth Abides,https://www.imdb.com/title/tt26443935/?ref_=chttvm_t_99,"https://m.media-amazon.com/images/M/MV5BMzc3NDM0ZDgtODkwMy00ZmY2LTkxM2ItOTkwNGNlNjE0ZDQ2XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",99 (11),2024–,6.2,(3.9K),6 eps,TV Series,
Dandadan,https://www.imdb.com/title/tt30217403/?ref_=chttvm_t_100,"https://m.media-amazon.com/images/M/MV5BYWFhOWMxNTYtZThiMi00ZmQ5LTlmODktN2QwNzUyZjMyZGQzXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",100 (48),2024–,8.5,(22K),13 eps,TV Series,TV-MA
